"","GEO_CODE","LAD","Sum_Allergies_Presc","Sum_Asthma_Presc","Sum_Diabetes_Presc","Sum_Patients","AllergiesPP","AsthmaPP","DiabetesPP"
"1","E06000001","Hartlepool",611,347,816,95949,0.636796631543841,0.361650460140283,0.850451802520089
"2","E06000002","Middlesbrough",1314,583,1408,158095,0.831145830038901,0.368765615610867,0.890603750909263
"3","E06000003","Redcar and Cleveland",1082,546,1274,135929,0.796003796099434,0.401680288974391,0.937254007606912
"4","E06000004","Stockton-on-Tees",1263,572,1406,199079,0.634421511058424,0.287323122981329,0.706252291803756
"5","E06000005","Darlington",852,367,787,107405,0.793259159257018,0.341697313905312,0.732740561426377
"6","E06000006","Halton",1024,516,1026,127642,0.802243775559769,0.404255652528165,0.803810657933909
"7","E06000007","Warrington",1496,758,1721,215035,0.695700699886065,0.352500755690934,0.800334829213849
"8","E06000008","Blackburn with Darwen",1472,758,1742,172037,0.855629893569407,0.440602893563594,1.01257287676488
"9","E06000009","Blackpool",777,714,1432,171687,0.452567754110678,0.415873071344947,0.834075963817878
"10","E06000010","Kingston upon Hull, City of",2647,1419,3290,293599,0.90156982823511,0.483312272861965,1.1205760237603
"11","E06000011","East Riding of Yorkshire",2528,1173,2705,316892,0.797748128699999,0.370157656236194,0.853603120305972
"12","E06000012","North East Lincolnshire",1319,805,1569,168892,0.780972455770552,0.476635956706061,0.928996044809701
"13","E06000013","North Lincolnshire",1397,675,1450,175247,0.797160579068401,0.385170644861253,0.827403607479729
"14","E06000014","York",903,387,930,224538,0.402159100018705,0.172353900008016,0.414183790716939
"15","E06000047","County Durham",4173,1973,4323,543891,0.767249320176285,0.362756508197415,0.794828375538481
"16","E06000048","Northumberland",1939,1002,2206,322500,0.601240310077519,0.310697674418605,0.684031007751938
"17","E06000049","Cheshire East",2664,1297,2779,392102,0.679415050165518,0.330781276300554,0.708744153307048
"18","E06000050","Cheshire West and Chester",2438,1259,2907,359268,0.678602046383201,0.350434772927174,0.8091452620328
"19","E07000026","Allerdale",525,458,777,99723,0.526458289461809,0.45927218394954,0.779158268403478
"20","E07000027","Barrow-in-Furness",414,283,555,71274,0.580856974492802,0.397059236187109,0.778685074501221
"21","E07000028","Carlisle",532,365,705,109065,0.487782515013982,0.334662815752074,0.646403520836199
"22","E07000029","Copeland",389,302,491,70127,0.554707887119084,0.430647254267258,0.700158284255708
"23","E07000030","Eden",244,195,471,52113,0.468213305701073,0.374186863162743,0.903805192562317
"24","E07000031","South Lakeland",621,386,928,111027,0.55932340781972,0.347663181028038,0.835832725373107
"25","E07000117","Burnley",796,422,846,96832,0.822042300066094,0.435806345009914,0.873678122934567
"26","E07000118","Chorley",829,507,996,108772,0.762144669584084,0.466112602507998,0.915676828595594
"27","E07000119","Fylde",544,244,651,71336,0.762588314455534,0.342043288101379,0.912582707188516
"28","E07000120","Hyndburn",781,401,908,76465,1.02138233178578,0.524422938599359,1.18747139214019
"29","E07000121","Lancaster",763,291,739,141437,0.539462799691735,0.205745314168146,0.522494113987146
"30","E07000122","Pendle",739,348,713,89760,0.823306595365419,0.387700534759358,0.794340463458111
"31","E07000123","Preston",1028,638,1372,134833,0.762424628985486,0.473177931218619,1.01755504957985
"32","E07000124","Ribble Valley",412,181,379,55379,0.743964318604525,0.326838693367522,0.684374943570668
"33","E07000125","Rossendale",613,275,550,71219,0.860725368230388,0.386132913969587,0.772265827939174
"34","E07000126","South Ribble",902,516,1047,123005,0.733303524246982,0.419495142473883,0.851184911182472
"35","E07000127","West Lancashire",917,504,1163,112276,0.816737325875521,0.448893797427767,1.0358402508105
"36","E07000128","Wyre",795,446,911,105082,0.756552026036809,0.424430444795493,0.866942007194382
"37","E07000163","Craven",364,160,375,54769,0.664609541894137,0.292136062371049,0.684693896182147
"38","E07000164","Hambleton",599,304,682,86167,0.695161720844407,0.352803277356761,0.791486299859575
"39","E07000165","Harrogate",1148,502,1112,161283,0.711792315371118,0.311254130937545,0.689471301997111
"40","E07000166","Richmondshire",401,203,486,44412,0.902909123660272,0.457083671079888,1.09429883815185
"41","E07000167","Ryedale",341,179,426,49872,0.683750401026628,0.358918832210459,0.854186717998075
"42","E07000168","Scarborough",857,463,1014,116411,0.736184724811229,0.397728736975028,0.871051704735807
"43","E07000169","Selby",433,246,481,76016,0.569616922753105,0.323616080825089,0.632761523889707
"44","E08000001","Bolton",2208,1386,3123,302845,0.729085835988707,0.457659859003781,1.03122059139164
"45","E08000002","Bury",1702,859,1890,200345,0.849534552896254,0.428760388330131,0.943372682123337
"46","E08000003","Manchester",4431,2644,6131,608956,0.727638778499596,0.434185721135846,1.00680508936606
"47","E08000004","Oldham",1949,1232,2528,237942,0.819107177379361,0.517773238856528,1.06244378882249
"48","E08000005","Rochdale",2016,1167,2337,228005,0.884191136159295,0.511830880901735,1.02497752242275
"49","E08000006","Salford",1999,1346,2553,265492,0.75294170822473,0.506983261265876,0.961610895996866
"50","E08000007","Stockport",1906,1306,3029,307304,0.620232733709942,0.424986332751933,0.985668914169682
"51","E08000008","Tameside",1547,1154,2392,224067,0.690418490897812,0.515024523914722,1.06753783466552
"52","E08000009","Trafford",1789,968,2059,238398,0.750425758605357,0.406043674863044,0.863681742296496
"53","E08000010","Wigan",2877,1794,3412,317815,0.905243616569388,0.564479335462455,1.07358054213929
"54","E08000011","Knowsley",1386,892,1595,157650,0.879162702188392,0.56581033935934,1.01173485569299
"55","E08000012","Liverpool",4663,2847,5345,523293,0.891087784472561,0.54405466918151,1.02141630023715
"56","E08000013","St. Helens",1758,959,1950,192031,0.915477188578927,0.499398534611599,1.01546104535205
"57","E08000014","Sefton",2248,1392,2615,271338,0.828486979339422,0.51301328969772,0.963742638333002
"58","E08000015","Wirral",2553,1744,3237,334298,0.763689881482988,0.521690228478782,0.968297746322144
"59","E08000016","Barnsley",2295,1102,2264,256399,0.895089294420025,0.429798868170313,0.882998763645724
"60","E08000017","Doncaster",2538,1387,3043,317586,0.799153615083788,0.436732097762496,0.958165662214329
"61","E08000018","Rotherham",707,1194,2225,255140,0.277102767108254,0.467978364819315,0.872070235948891
"62","E08000019","Sheffield",4950,2205,4864,589218,0.840096534729082,0.374224820015682,0.825500918166112
"63","E08000020","Gateshead",1654,655,1675,208051,0.794997380449986,0.314826653080254,0.805091059403704
"64","E08000021","Newcastle upon Tyne",1955,763,1921,310202,0.630234492363041,0.245968755842967,0.619273892495858
"65","E08000022","North Tyneside",1418,654,1474,211962,0.668987837442561,0.308545871429785,0.695407667412083
"66","E08000023","South Tyneside",1141,696,1271,152077,0.75027781978866,0.457662894454783,0.83576083168395
"67","E08000024","Sunderland",2339,1267,2758,283883,0.82393098565254,0.446310627969974,0.971527002321379
"68","E08000032","Bradford",5370,2170,5065,569861,0.942335060655142,0.380794614827125,0.888813236912159
"69","E08000033","Calderdale",1881,865,1826,218500,0.860869565217391,0.395881006864989,0.835697940503432
"70","E08000034","Kirklees",4280,1990,3960,435231,0.983385834189201,0.457228460288904,0.909861659670382
"71","E08000035","Leeds",5768,2960,6104,851034,0.677763755619634,0.347812190817288,0.717245139442138
"72","E08000036","Wakefield",2765,1410,2637,364554,0.758461023606928,0.386773975871887,0.723349627215721
